#interaction	gene1	Egene2	dir	sign	biogrid	pubmed
hiv_ppi	E155871	E3187	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E3184	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E3185	0	0	biogrid	pmids:19454010
hiv_ppi	E155807	E9730	0	0	biogrid	pmids:11223251:22190037:17559673:18829761:17314515:17626091:21566118:20824083:17620334:17609381:17630831
hiv_ppi	E1022	E155871	0	0	biogrid	pmids:9184228:9334327:10082552
hiv_ppi	E11097	E155908	0	0	biogrid	pmids:12228227
hiv_ppi	E155945	E919	0	0	biogrid	pmids:20179761
hiv_ppi	E155030	E155459	0	0	biogrid	pmids:11172097
hiv_ppi	E155871	E983	0	0	biogrid	pmids:19454010
hiv_ppi	E155807	E79711	0	0	biogrid	pmids:17609381
hiv_ppi	E155030	E53347	0	0	biogrid	pmids:18006034
hiv_ppi	E155871	E6839	0	0	biogrid	pmids:18498648
hiv_ppi	E155871	E4691	0	0	biogrid	pmids:19454010
hiv_ppi	E155945	E684	0	0	biogrid	pmids:19730691:19515779:20179761:20980512
hiv_ppi	E155030	E6059	0	0	biogrid	pmids:18006034
hiv_ppi	E155871	E2965	0	0	biogrid	pmids:8934526:9121429
hiv_ppi	E155871	E9972	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E5687	0	0	biogrid	pmids:12419264
hiv_ppi	E155871	E2962	0	0	biogrid	pmids:8934526:9121429
hiv_ppi	E155871	E5685	0	0	biogrid	pmids:14550573
hiv_ppi	E155871	E5684	0	0	biogrid	pmids:14550573
hiv_ppi	E155871	E5689	0	0	biogrid	pmids:14550573
hiv_ppi	E155871	E5688	0	0	biogrid	pmids:14550573
hiv_ppi	E155348	E8726	0	0	biogrid	pmids:14610174
hiv_ppi	E155030	E8453	0	0	biogrid	pmids:19327355
hiv_ppi	E156110	E26985	0	0	biogrid	pmids:10814565
hiv_ppi	E155871	E5441	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E5440	0	0	biogrid	pmids:11080476
hiv_ppi	E155807	E6188	0	0	biogrid	pmids:17620334
hiv_ppi	E155459	E8453	0	0	biogrid	pmids:22190037
hiv_ppi	E155459	E4734	0	0	biogrid	pmids:15013426
hiv_ppi	E155459	E2874	0	0	biogrid	pmids:22190037
hiv_ppi	E155871	E51434	0	0	biogrid	pmids:19454010
hiv_ppi	E11198	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E10592	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E9031	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E55832	0	0	biogrid	pmids:19454010
hiv_ppi	E155030	E975	0	0	biogrid	pmids:16533950
hiv_ppi	E155807	E3014	0	0	biogrid	pmids:16306615
hiv_ppi	E155030	E71	0	0	biogrid	pmids:16101678
hiv_ppi	E155871	E23451	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E5903	0	0	biogrid	pmids:19454010
hiv_ppi	E155807	E8467	0	0	biogrid	pmids:21519849
hiv_ppi	E155871	E2091	0	0	biogrid	pmids:19454010
hiv_ppi	E155030	E27183	0	0	biogrid	pmids:20164219
hiv_ppi	E155871	E5347	0	0	biogrid	pmids:19454010
hiv_ppi	E155459	E5594	0	0	biogrid	pmids:9792705
hiv_ppi	E155945	E155945	0	0	biogrid	pmids:22090097
hiv_ppi	E155871	E2068	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E9328	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E9329	0	0	biogrid	pmids:19454010
hiv_ppi	E1283	E155871	0	0	biogrid	pmids:9311822
hiv_ppi	E155030	E302	0	0	biogrid	pmids:16501079
hiv_ppi	E155871	E5591	0	0	biogrid	pmids:21450944
hiv_ppi	E155807	E7158	0	0	biogrid	pmids:20824083
hiv_ppi	E10318	E155030	0	0	biogrid	pmids:11090181
hiv_ppi	E155871	E9688	0	0	biogrid	pmids:19454010
hiv_ppi	E155807	E7157	0	0	biogrid	pmids:9685344
hiv_ppi	E155945	E8454	0	0	biogrid	pmids:22190037
hiv_ppi	E155871	E8295	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E7112	0	0	biogrid	pmids:19454010
hiv_ppi	E11269	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E6908	0	0	biogrid	pmids:11080476
hiv_ppi	E155459	E7316	0	0	biogrid	pmids:15574592:14672928:16014920:19128510:15013426
hiv_ppi	E155871	E9869	0	0	biogrid	pmids:18498648
hiv_ppi	E155030	E9397	0	0	biogrid	pmids:16501079
hiv_ppi	E155871	E86	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E83879	0	0	biogrid	pmids:19454010
hiv_ppi	E155030	E1656	0	0	biogrid	pmids:19560422
hiv_ppi	E155459	E8266	0	0	biogrid	pmids:22190037
hiv_ppi	E155871	E4627	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E4839	0	0	biogrid	pmids:19454010
hiv_ppi	E1108	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E155945	E920	0	0	biogrid	pmids:20179761:20442859:22090097
hiv_ppi	E156110	E5660	0	0	biogrid	pmids:15047825
hiv_ppi	E155871	E1936	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E85236	0	0	biogrid	pmids:11080476
hiv_ppi	E155871	E85235	0	0	biogrid	pmids:11080476
hiv_ppi	E155030	E3140	0	0	biogrid	pmids:10708443
hiv_ppi	E155871	E60	0	0	biogrid	pmids:16687403
hiv_ppi	E156110	E8907	0	0	biogrid	pmids:10814565
hiv_ppi	E155871	E30836	0	0	biogrid	pmids:19454010
hiv_ppi	E155030	E4836	0	0	biogrid	pmids:16501079
hiv_ppi	E155030	E155030	0	0	biogrid	pmids:14722278
hiv_ppi	E10524	E155871	0	0	biogrid	pmids:8607265
hiv_ppi	E155871	E23047	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E53615	0	0	biogrid	pmids:19454010
hiv_ppi	E155908	E8021	0	0	biogrid	pmids:12228227
hiv_ppi	E155459	E9730	0	0	biogrid	pmids:19923175
hiv_ppi	E155871	E9044	0	0	biogrid	pmids:19454010
hiv_ppi	E10607	E155871	0	0	biogrid	pmids:19454010
hiv_ppi	E155807	E7374	0	0	biogrid	pmids:9371639:16103149
hiv_ppi	E155871	E8289	0	0	biogrid	pmids:19454010
hiv_ppi	E155459	E155807	0	0	biogrid	pmids:22190037
hiv_ppi	E155871	E5977	0	0	biogrid	pmids:19454010
hiv_ppi	E155459	E83737	0	0	biogrid	pmids:15013426
hiv_ppi	E155871	E8886	0	0	biogrid	pmids:19454010
hiv_ppi	E10273	E155459	0	0	biogrid	pmids:22190037
hiv_ppi	E155871	E1654	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E1655	0	0	biogrid	pmids:19454010
hiv_ppi	E155871	E57504	0	0	biogrid	pmids:19454010
