#interaction	Egene1	Egene2	dir	sign	biogrid	pubmed
Ubiquitination	E6478	E6622	1	0	biogrid	pmids:15064394:22065755:19224863:18070888
Sumoylation	E2521	E5036	1	0	biogrid	pmids:19946338
Phosphorylation	E3725	E5599	1	0	biogrid	pmids:8001819:14701799:8654373:12052834:8137421:8621542:8586671:16983342:22327296:11479302:12963725:10419510
Ubiquitination	E7322	E80196	1	0	biogrid	pmids:15069192
Demethylation	E23186	E8350	1	0	biogrid	pmids:16079794
Phosphorylation	E120892	E8874	1	0	biogrid	pmids:21048939
Acetylation	E10013	E1499	1	0	biogrid	pmids:18356165
Phosphorylation	E5347	E995	1	0	biogrid	pmids:19503101:11202906
Phosphorylation	E5347	E7157	1	0	biogrid	pmids:19833129
Phosphorylation	E6790	E3161	1	0	biogrid	pmids:22110403
Ubiquitination	E8924	E672	1	0	biogrid	pmids:20631078
Phosphorylation	E660	E80230	1	0	biogrid	pmids:11877430
Ubiquitination	E9730	E10309	1	0	biogrid	pmids:21226479
Ubiquitination	E51343	E9232	1	0	biogrid	pmids:11562349:18485873
Ubiquitination	E25847	E891	1	0	biogrid	pmids:20080579
Phosphorylation	E4117	E51343	1	0	biogrid	pmids:21986944
Ubiquitination	E23327	E50488	1	0	biogrid	pmids:19953087
Ubiquitination	E9666	E8349	1	0	biogrid	pmids:18206970
Phosphorylation	E5578	E7142	1	0	biogrid	pmids:9837753
Phosphorylation	E5580	E5777	1	0	biogrid	pmids:11723252
Phosphorylation	E1408	E1408	1	0	biogrid	pmids:17073458
Deubiquitination	E57646	E7316	1	0	biogrid	pmids:21890473:22626734:19850743:21139048:22118674:21906983
Ubiquitination	E4734	E2629	1	0	biogrid	pmids:19953087
Phosphorylation	E7444	E7157	1	0	biogrid	pmids:16704422
Ubiquitination	E991	E9232	1	0	biogrid	pmids:16455800:17360335
Sumoylation	E7329	E4205	1	0	biogrid	pmids:19684601
Phosphorylation	E5347	E5685	1	0	biogrid	pmids:11205743
Phosphorylation	E5347	E5684	1	0	biogrid	pmids:11205743
Phosphorylation	E5586	E10014	1	0	biogrid	pmids:20188095
Phosphorylation	E1459	E7150	1	0	biogrid	pmids:2998765
Acetylation	E2033	E604	1	0	biogrid	pmids:12402037
Phosphorylation	E1460	E1457	1	0	biogrid	pmids:12628923
Sumoylation	E9759	E7376	1	0	biogrid	pmids:17218271
Phosphorylation	E1017	E5424	1	0	biogrid	pmids:9545286
Phosphorylation	E1017	E5422	1	0	biogrid	pmids:10877824
Phosphorylation	E6790	E1447	1	0	biogrid	pmids:11551964
Phosphorylation	E2534	E91746	1	0	biogrid	pmids:15175272
Phosphorylation	E2932	E4790	1	0	biogrid	pmids:11425860
Sumoylation	E7341	E3093	1	0	biogrid	pmids:15723079
Phosphorylation	E28996	E2033	1	0	biogrid	pmids:16917507
Phosphorylation	E472	E2177	1	0	biogrid	pmids:12086603
Methylation	E79813	E7157	1	0	biogrid	pmids:20118233:20588255
Phosphorylation	E1432	E1432	1	0	biogrid	pmids:11847341:12819782
Phosphorylation	E983	E64151	1	0	biogrid	pmids:11136719
Phosphorylation	E5594	E7421	1	0	biogrid	pmids:20371703
Sumoylation	E6612	E55576	1	0	biogrid	pmids:14701874
Phosphorylation	E5347	E10726	1	0	biogrid	pmids:12852857
Ubiquitination	E55743	E6596	1	0	biogrid	pmids:20388495
Ubiquitination	E27339	E9129	1	0	biogrid	pmids:22939629:20595234
Deubiquitination	E8027	E9101	1	0	biogrid	pmids:16520378:17711858:20736164:10982817
Phosphorylation	E5578	E22927	1	0	biogrid	pmids:14699138
Phosphorylation	E5583	E5583	1	0	biogrid	pmids:19920073
Phosphorylation	E1017	E7319	1	0	biogrid	pmids:11953320
Acetylation	E7994	E8350	1	0	biogrid	pmids:11742995
Phosphorylation	E5595	E7421	1	0	biogrid	pmids:20371703
Ubiquitination	E115426	E595	1	0	biogrid	pmids:21952639
Phosphorylation	E3932	E27040	1	0	biogrid	pmids:16938345
Ubiquitination	E4734	E51631	1	0	biogrid	pmids:19953087
Ribosylation	E142	E11198	1	0	biogrid	pmids:16682447
Sumoylation	E7341	E2648	1	0	biogrid	pmids:15561718
Acetylation	E8850	E2547	1	0	biogrid	pmids:15023334
Phosphorylation	E1457	E3181	1	0	biogrid	pmids:10381337
Phosphorylation	E25	E10580	1	0	biogrid	pmids:19891780
Phosphorylation	E5601	E10140	1	0	biogrid	pmids:12151396
Phosphorylation	E2932	E3320	1	0	biogrid	pmids:22824801
Phosphorylation	E6714	E4179	1	0	biogrid	pmids:10657632
Acetylation	E8520	E30	1	0	biogrid	pmids:9427644
Phosphorylation	E983	E4134	1	0	biogrid	pmids:7876309
Phosphorylation	E2965	E5430	1	0	biogrid	pmids:15282296
Ubiquitination	E9246	E5886	1	0	biogrid	pmids:9153201
Phosphorylation	E6446	E4300	1	0	biogrid	pmids:17332896
Ubiquitination	E8450	E898	1	0	biogrid	pmids:16322693
Ubiquitination	E4281	E7321	1	0	biogrid	pmids:19549727:21296087:21143188
