#interaction	gene1	gene2	dir	sign	pubmed
hiv_human	E155971	E3812	0	0	pmids:22190034
hiv_human	E10726	E155348	0	0	pmids:22190034
hiv_human	E155971	E6748	0	0	pmids:22190034
hiv_human	E155807	E9859	0	0	pmids:22190034
hiv_human	E155971	E5955	0	0	pmids:22190034
hiv_human	E155971	E23753	0	0	pmids:22190034
hiv_human	E155971	E55151	0	0	pmids:22190034
hiv_human	E155348	E25962	0	0	pmids:22190034
hiv_human	E155908	E55234	0	0	pmids:22190034
hiv_human	E10725	E155348	0	0	pmids:22190034
hiv_human	E124801	E155971	0	0	pmids:22190034
hiv_human	E11171	E155030	0	0	pmids:22190034
hiv_human	E155807	E80344	0	0	pmids:22190034
hiv_human	E10130	E155348	0	0	pmids:22190034
hiv_human	E155807	E79760	0	0	pmids:22190034
hiv_human	E10360	E155871	0	0	pmids:22190034
hiv_human	E155807	E91452	0	0	pmids:22190034
hiv_human	E155348	E2885	0	0	pmids:22190034
hiv_human	E155871	E2201	0	0	pmids:22190034
hiv_human	E155030	E79159	0	0	pmids:22190034
hiv_human	E155348	E7532	0	0	pmids:22190034
hiv_human	E155348	E7531	0	0	pmids:22190034
hiv_human	E10197	E155807	0	0	pmids:22190034
hiv_human	E155348	E7534	0	0	pmids:22190034
hiv_human	E155459	E7917	0	0	pmids:22190034
hiv_human	E155971	E90231	0	0	pmids:22190034
hiv_human	E155807	E9730	0	0	pmids:22190034
hiv_human	E155971	E81929	0	0	pmids:22190034
hiv_human	E155971	E64746	0	0	pmids:22190034
hiv_human	E155971	E3676	0	0	pmids:22190034
hiv_human	E155945	E4738	0	0	pmids:22190034
hiv_human	E155348	E27247	0	0	pmids:22190034
hiv_human	E155807	E54882	0	0	pmids:22190034
hiv_human	E155030	E6050	0	0	pmids:22190034
hiv_human	E155348	E8668	0	0	pmids:22190034
hiv_human	E155348	E8667	0	0	pmids:22190034
hiv_human	E155348	E8666	0	0	pmids:22190034
hiv_human	E155348	E8665	0	0	pmids:22190034
Proteolytic_Processing	E155348	E8664	1	0	pmids:22190034	
hiv_human	E155348	E8663	0	0	pmids:22190034
hiv_human	E155348	E8662	0	0	pmids:22190034
hiv_human	E155348	E8661	0	0	pmids:22190034
hiv_human	E155807	E64083	0	0	pmids:22190034
hiv_human	E155030	E1615	0	0	pmids:22190034
hiv_human	E155945	E6500	0	0	pmids:22190034
hiv_human	E155348	E4436	0	0	pmids:22190034
hiv_human	E155807	E5931	0	0	pmids:22190034
hiv_human	E155945	E539	0	0	pmids:22190034
hiv_human	E155459	E2874	0	0	pmids:22190034
hiv_human	E155945	E81892	0	0	pmids:22190034
hiv_human	E10480	E155348	0	0	pmids:22190034
hiv_human	E155971	E6782	0	0	pmids:22190034
